umls	mondo	parent
UMLS:C5677001	MONDO:0859257	autosomal dominant dopa-responsive dystonia,dopa-responsive dystonia,metabolic disease,human disease,disease
UMLS:C1313885	MONDO:0019313	hereditary disease,human disease,disease
UMLS:C1301355	MONDO:0006311, MONDO:0020077	myeloproliferative neoplasm,myeloid neoplasm,hematopoietic and lymphoid cell neoplasm,hematopoietic and lymphoid system neoplasm,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0751528	MONDO:0000723	speech disorder,communication disorder,specific developmental disorder,developmental disorder of mental health,mental disorder,psychiatric disorder,human disease,disease
UMLS:C0007103	MONDO:0011962	uterine cancer,female reproductive organ cancer,reproductive system cancer,cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0730290	MONDO:0000455	hereditary macular dystrophy,inherited retinal dystrophy,retinal degeneration,retinal disorder,nervous system disorder,human disease,disease
UMLS:C4706415	MONDO:0014159	autosomal recessive cerebellar ataxia,autosomal recessive disease,autosomal genetic disease,hereditary disease,human disease,disease
UMLS:C4023814		disease
UMLS:C0431904	MONDO:0017426	non-syndromic polydactyly,polydactyly,hereditary disease,human disease,disease
UMLS:C5442191		disease
UMLS:C0268149	MONDO:0009865	disorder of glycogen metabolism,inborn carbohydrate metabolic disorder,inborn errors of metabolism,hereditary disease,human disease,disease
UMLS:C0027765	MONDO:0005071	human disease,disease
UMLS:C0020534		disease
UMLS:C0009691	MONDO:0010948, MONDO:0011015, MONDO:0011060, MONDO:0011104, MONDO:0011162, MONDO:0008925, MONDO:0011413, MONDO:0011547, MONDO:0011587, MONDO:0011591, MONDO:0012260, MONDO:0011808, MONDO:0012336, MONDO:0012395, MONDO:0012437, MONDO:0012489, MONDO:0012527, MONDO:0014565, MONDO:0014673, MONDO:0014799, MONDO:0013411, MONDO:0013744, MONDO:0012665, MONDO:0012688, MONDO:0012701, MONDO:0013859, MONDO:0007278, MONDO:0007279, MONDO:0007280, MONDO:0007281, MONDO:0007282, MONDO:0007283, MONDO:0007284, MONDO:0007285, MONDO:0007286, MONDO:0007287, MONDO:0007288, MONDO:0007289, MONDO:0007290, MONDO:0014075, MONDO:0014110, MONDO:0014111, MONDO:0013067, MONDO:0100436, MONDO:0010544	early-onset non-syndromic cataract,cataract,lens disorder,eye disorder,disorder of orbital region,human disease,disease
UMLS:C0344925		disease
UMLS:C0022593	MONDO:0006566	skin disorder,integumentary system disorder,human disease,disease
UMLS:C1864839	MONDO:0012513	maturity-onset diabetes of the young,monogenic diabetes,diabetes mellitus,endocrine pancreas disorder,pancreas disorder,digestive system disorder,human disease,disease
UMLS:C1841837		disease
UMLS:C1860808	MONDO:0014221	glucose metabolism disease,metabolic disease,human disease,disease
UMLS:C1327918	MONDO:0007836	hereditary disease,human disease,disease
UMLS:C0028878	MONDO:0008770, MONDO:0008771, MONDO:0008772, MONDO:0013181, MONDO:0007538, MONDO:0014385, MONDO:0014540, MONDO:0014560, MONDO:0007092, MONDO:0007093, MONDO:0007094, MONDO:0013906, MONDO:0019367, MONDO:0012926, MONDO:0010521, MONDO:0010522	amelogenesis imperfecta type 1,amelogenesis imperfecta,hereditary disease,human disease,disease
UMLS:C4310808	MONDO:0012205, MONDO:0000211	striatal degeneration, autosomal dominant,striatonigral degeneration,multiple system atrophy,synucleinopathy,inborn errors of metabolism,hereditary disease,human disease,disease
UMLS:C0338480	MONDO:0100431	migraine disorder,brain disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C0016522	MONDO:0020439	atrial septal defect,heart septal defect,congenital heart disease,heart disorder,cardiovascular disorder,human disease,disease
UMLS:C0149512	MONDO:0005961	paranasal sinus disorder,nasal disorder,otorhinolaryngologic disease,human disease,disease
UMLS:C0035412	MONDO:0005212	soft tissue sarcoma,sarcoma,cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C2910340	MONDO:0008831, MONDO:0009894, MONDO:0013127, MONDO:0014284, MONDO:0014287, MONDO:0014577, MONDO:0013441, MONDO:0013569, MONDO:0013717, MONDO:0018770, MONDO:0014214	Jeune syndrome,ciliopathy,hereditary disease,human disease,disease
UMLS:C5436695	MONDO:0033646	mitochondrial complex IV deficiency, nuclear-type,mitochondrial complex deficiency,inborn mitochondrial metabolism disorder,developmental anomaly of metabolic origin,metabolic disease,human disease,disease
UMLS:C0023283	MONDO:0005446	leishmaniasis,protozoa infectious disease,parasitic infectious disease,infectious disease,human disease,disease
UMLS:C5568802	MONDO:0018777	hypertrichosis,disorder of pilosebaceous unit,integumentary system disorder,human disease,disease
UMLS:C0003910	MONDO:0002903	speech disorder,communication disorder,specific developmental disorder,developmental disorder of mental health,mental disorder,psychiatric disorder,human disease,disease
UMLS:C0153459	MONDO:0009831	digestive system cancer,digestive system disorder,human disease,disease
UMLS:C0751688	MONDO:0002532, MONDO:0005096	epithelial neoplasm,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C1854882		disease
UMLS:C4747989	MONDO:0054700	proteosome-associated autoinflammatory syndrome,immune system disorder,human disease,disease
UMLS:C4551647	MONDO:0019171, MONDO:0100316	long QT syndrome,syndromic disease,human disease,disease
UMLS:C1847800	MONDO:0008670, MONDO:0018094	Waardenburg syndrome,autosomal dominant disease,autosomal genetic disease,hereditary disease,human disease,disease
UMLS:C0679362	MONDO:0000368	tuberculosis,primary bacterial infectious disease,bacterial infectious disease,infectious disease,human disease,disease
UMLS:C0003504	MONDO:0005648	aortic valve disorder,heart valve disorder,heart disorder,cardiovascular disorder,human disease,disease
UMLS:C1848207		disease
UMLS:C1832978	MONDO:0010967	hearing loss, autosomal recessive,autosomal recessive disease,autosomal genetic disease,hereditary disease,human disease,disease
UMLS:C0024433	MONDO:0013300	facial cleft,developmental defect during embryogenesis,disorder of development or morphogenesis,human disease,disease
UMLS:C0007787	MONDO:0005264	brain ischemia,ischemic disease,vascular disorder,cardiovascular disorder,human disease,disease
UMLS:C0022548	MONDO:0005348	reactive cutaneous fibrous lesion,skin disorder,integumentary system disorder,human disease,disease
UMLS:C0235032	MONDO:0005527	nervous system disorder,human disease,disease
UMLS:C4706871	MONDO:0014332	disorder of gluconeogenesis,glucose metabolism disease,metabolic disease,human disease,disease
UMLS:C5774232	MONDO:0859298	neurodevelopmental disorder,nervous system disorder,human disease,disease
UMLS:C1845292	MONDO:0010351	Fanconi anemia,congenital anemia,anemia,hematologic disorder,human disease,disease
UMLS:C0032617		disease
UMLS:C0008489	MONDO:0001595, MONDO:0010327	movement disorder,nervous system disorder,human disease,disease
UMLS:C1856892	MONDO:0009202	hereditary lethal multiple congenital anomalies/dysmorphic syndrome,disorder of development or morphogenesis,human disease,disease
UMLS:C0600519		disease
UMLS:C4228778		disease
UMLS:C1332355	MONDO:0016264	autoimmune disorder of endocrine system,endocrine system disorder,human disease,disease
UMLS:C5680922	MONDO:0016475	Beckwith-Wiedemann syndrome,hereditary neoplastic syndrome,hereditary disease,human disease,disease
UMLS:C0015230	MONDO:0006547	skin disorder,integumentary system disorder,human disease,disease
UMLS:C0041671	MONDO:0005302	attention deficit-hyperactivity disorder,specific developmental disorder,developmental disorder of mental health,mental disorder,psychiatric disorder,human disease,disease
UMLS:C0751036	MONDO:0019011, MONDO:0015626	Charcot-Marie-Tooth disease,hereditary peripheral neuropathy,peripheral neuropathy,peripheral nervous system disorder,nervous system disorder,human disease,disease
UMLS:C2931816	MONDO:0015566	partial deletion of the long arm of chromosome 2,partial deletion of chromosome 2,syndrome caused by partial chromosomal deletion,chromosomal disorder,human disease,disease
UMLS:C3665386		disease
UMLS:C0344315		disease
UMLS:C0016057	MONDO:0005164	fibroblastic neoplasm,mesenchymal cell neoplasm,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C1834751		disease
UMLS:C0021400	MONDO:0005812	viral respiratory tract infection,viral infectious disease,infectious disease,human disease,disease
UMLS:C0001768	MONDO:0015977	B cell deficiency,inborn error of immunity,immune deficiency disease,hereditary disease,human disease,disease
UMLS:C0024117	MONDO:0005002	obstructive lung disease,lung disorder,lower respiratory tract disorder,respiratory system disorder,human disease,disease
UMLS:C5193057	MONDO:0032705	disorder of folate metabolism and transport,disorder of vitamin and non-protein cofactor absorption and transport,disorder of metabolite absorption and transport,inborn errors of metabolism,hereditary disease,human disease,disease
UMLS:C0740394		disease
UMLS:C1136210	MONDO:0018059	meningococcal infection,bacterial infectious disease,infectious disease,human disease,disease
UMLS:C0751753	MONDO:0009376	urea cycle disorder or inherited hyperammonemia,urea cycle disorder,inborn disorder of amino acid metabolism,inborn errors of metabolism,hereditary disease,human disease,disease
UMLS:C0334239	MONDO:0000402	neuroendocrine carcinoma,carcinoma,cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C4255043	MONDO:0000170	isolated microphthalmia,hereditary disease,human disease,disease
UMLS:C1404173	MONDO:0017436	hereditary disease,human disease,disease
UMLS:C0003467	MONDO:0001942, MONDO:0011918	anxiety disorder,mental disorder,psychiatric disorder,human disease,disease
UMLS:C0024305	MONDO:0018908	lymphoma,lymphoid neoplasm,hematopoietic and lymphoid cell neoplasm,hematopoietic and lymphoid system neoplasm,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0678807		disease
UMLS:C5774278	MONDO:0859340	autosomal dominant cerebellar ataxia,autosomal dominant disease,autosomal genetic disease,hereditary disease,human disease,disease
UMLS:C4225304	MONDO:0014668	fatal infantile encephalocardiomyopathy,familial cardiomyopathy,cardiomyopathy,muscle tissue disorder,musculoskeletal system disorder,human disease,disease
UMLS:C0028960	MONDO:0001913	male infertility,male reproductive system disorder,reproductive system disorder,human disease,disease
UMLS:C2749215	MONDO:0010218	46,XX testicular disorder of sex development,46,XX disorder of sex development,disorder of sexual differentiation,gonadal disorder,reproductive system disorder,human disease,disease
UMLS:C4014918	MONDO:0014450	isolated congenital breast hypoplasia/aplasia,breast disorder,human disease,disease
UMLS:C4273672	MONDO:0016411	central congenital hypothyroidism,permanent congenital hypothyroidism,hereditary endocrine growth disease,endocrine system disorder,human disease,disease
UMLS:C1868111	MONDO:0008272	non-syndromic synpolydactyly,non-syndromic syndactyly,syndactyly,hereditary disease,human disease,disease
UMLS:C1720861	MONDO:0011448, MONDO:0020088	familial partial lipodystrophy,hereditary lipodystrophy,lipodystrophy,metabolic disease,human disease,disease
UMLS:C0009319	MONDO:0005292, MONDO:0005534	gastroenteritis,intestinal disorder,digestive system disorder,human disease,disease
UMLS:C0751527	MONDO:0000723	speech disorder,communication disorder,specific developmental disorder,developmental disorder of mental health,mental disorder,psychiatric disorder,human disease,disease
UMLS:C4748838	MONDO:0032634	mitochondrial complex I deficiency, nuclear type,mitochondrial complex I deficiency,mitochondrial complex deficiency,inborn mitochondrial metabolism disorder,developmental anomaly of metabolic origin,metabolic disease,human disease,disease
UMLS:C0153574	MONDO:0006003	uterine cancer,female reproductive organ cancer,reproductive system cancer,cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0001308	MONDO:0002251	liver disorder,hepatobiliary disorder,digestive system disorder,human disease,disease
UMLS:C0520575	MONDO:0003529	pyelonephritis,uterine inflammatory disease,uterine disorder,female reproductive system disorder,reproductive system disorder,human disease,disease
UMLS:C4746985	MONDO:0026721	mitochondrial complex I deficiency, nuclear type,mitochondrial complex I deficiency,mitochondrial complex deficiency,inborn mitochondrial metabolism disorder,developmental anomaly of metabolic origin,metabolic disease,human disease,disease
UMLS:C0149925	MONDO:0008433	small cell carcinoma,neuroendocrine carcinoma,carcinoma,cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0026846	MONDO:0004323	myopathy,skeletal muscle disorder,muscle tissue disorder,musculoskeletal system disorder,human disease,disease
UMLS:C0796204	MONDO:0008503	nervous system disorder,human disease,disease
UMLS:C5680250		disease
UMLS:C1854449	MONDO:0011534	motor peripheral neuropathy,peripheral neuropathy,peripheral nervous system disorder,nervous system disorder,human disease,disease
UMLS:C0022661	MONDO:0004375, MONDO:0005300, MONDO:0024327	chronic kidney disease,kidney disorder,urinary system disorder,human disease,disease
UMLS:C1836230	MONDO:0004951	inherited disease susceptibility,disease susceptibility
UMLS:C0014877	MONDO:0004896	strabismus,ocular motility disease,cranial nerve neuropathy,nervous system disorder,human disease,disease
UMLS:C0750935	MONDO:0021633, MONDO:0021636, MONDO:0019781	neoplasm of cerebral hemisphere,brain neoplasm,brain disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C5436685	MONDO:0033637	mitochondrial complex IV deficiency, nuclear-type,mitochondrial complex deficiency,inborn mitochondrial metabolism disorder,developmental anomaly of metabolic origin,metabolic disease,human disease,disease
UMLS:C0917796	MONDO:0010788	eye degenerative disorder,eye disorder,disorder of orbital region,human disease,disease
UMLS:C3150899	MONDO:0013340	inherited disease susceptibility,disease susceptibility
UMLS:C0041955	MONDO:0001398, MONDO:0008627, MONDO:0021111	benign urinary system neoplasm,benign neoplasm,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0520679	MONDO:0007147	syndromic disease,human disease,disease
UMLS:C0042164	MONDO:0020283	uveal disorder,eye disorder,disorder of orbital region,human disease,disease
UMLS:C0012236	MONDO:0008564, MONDO:0018923	congenital T-cell immunodeficiency,T-cell immunodeficiency,immunodeficiency disease,hereditary disease,human disease,disease
UMLS:C0151779	MONDO:0005012	skin cancer,integumentary system cancer,integumentary system disorder,human disease,disease
UMLS:C2931136		disease
UMLS:C0271694	MONDO:0020088	hereditary lipodystrophy,lipodystrophy,metabolic disease,human disease,disease
UMLS:C0003838	MONDO:0005294	vascular disorder,cardiovascular disorder,human disease,disease
UMLS:C0018781	MONDO:0013098	hearing loss disorder,hearing disorder,auditory system disorder,human disease,disease
UMLS:C0157917	MONDO:0011429	rheumatic disorder,connective tissue disorder,human disease,disease
UMLS:C0079485	MONDO:0002869	heart disorder,cardiovascular disorder,human disease,disease
UMLS:C0036572	MONDO:0001386	visual cortex disorder,visual pathway disorder,brain disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C0338106	MONDO:0005401, MONDO:0002271	colonic disorder,large intestine disorder,intestinal disorder,digestive system disorder,human disease,disease
UMLS:C0027066		disease
UMLS:C0162871	MONDO:0005350	aortic aneurysm,aortic disorder,arterial disorder,vascular disorder,cardiovascular disorder,human disease,disease
UMLS:C1854021	MONDO:0011587, MONDO:0020372	early-onset sutural cataract,early-onset zonular cataract,early-onset partial cataract,early-onset non-syndromic cataract,cataract,lens disorder,eye disorder,disorder of orbital region,human disease,disease
UMLS:C3549845	MONDO:0007829	familial intrahepatic cholestasis,liver disorder,hepatobiliary disorder,digestive system disorder,human disease,disease
UMLS:C0086438	MONDO:0015977, MONDO:0016463	B cell deficiency,inborn error of immunity,immune deficiency disease,hereditary disease,human disease,disease
UMLS:C1335062	MONDO:0003316, MONDO:0019004	kidney Wilms tumor,kidney cancer,malignant urinary system neoplasm,cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0014550	MONDO:0016022	neonatal period electroclinical syndrome,electroclinical syndrome,epilepsy,brain disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C0040336	MONDO:0008575	drug dependence,substance dependence,substance-related disorder,psychiatric disorder,human disease,disease
UMLS:C0018995	MONDO:0001436, MONDO:0006507	iron metabolism disease,mineral metabolism disease,metabolic disease,human disease,disease
UMLS:C1262477		disease
UMLS:C0029463	MONDO:0002629, MONDO:0009807	osteosarcoma,sarcoma,cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0338488	MONDO:0016241	hemiplegia,palsy,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C1275278	MONDO:0012825	soft tissue sarcoma,sarcoma,cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0024624	MONDO:0008903	respiratory system cancer,cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C4021726		disease
UMLS:C0008043	MONDO:0024305, MONDO:0043226	hyperprolactinemia,hyperpituitarism,anterior pituitary gland disorder,pituitary gland disorder,reproductive system disorder,human disease,disease
UMLS:C1704375	MONDO:0000044, MONDO:0024300	hereditary disease,human disease,disease
UMLS:C0154830	MONDO:0001660	diabetic retinopathy,retinal vascular disorder,retinal disorder,nervous system disorder,human disease,disease
UMLS:C0348617	MONDO:0000908, MONDO:0011188, MONDO:0011189, MONDO:0012180, MONDO:0011459, MONDO:0011460, MONDO:0011484, MONDO:0011831, MONDO:0012434, MONDO:0012506, MONDO:0012684	familial isolated arrhythmogenic right ventricular dysplasia,familial cardiomyopathy,cardiomyopathy,muscle tissue disorder,musculoskeletal system disorder,human disease,disease
UMLS:C0344523	MONDO:0007279, MONDO:0020374	cerulean cataract,early-onset partial cataract,early-onset non-syndromic cataract,cataract,lens disorder,eye disorder,disorder of orbital region,human disease,disease
UMLS:C0521620		disease
UMLS:C0012715	MONDO:0002279, MONDO:0011012, MONDO:0021001, MONDO:0014225	mineral metabolism disease,metabolic disease,human disease,disease
UMLS:C5231404	MONDO:0032807	Mendelian neurodevelopmental disorder,hereditary neurological disease,hereditary disease,human disease,disease
UMLS:C0342881	MONDO:0018328	familial hypercholesterolemia,familial hyperlipidemia,inherited lipid metabolism disorder,inborn errors of metabolism,hereditary disease,human disease,disease
UMLS:C5394371	MONDO:0030036	hereditary disease,human disease,disease
UMLS:C0349217	MONDO:0002050	mood disorder,mental disorder,psychiatric disorder,human disease,disease
UMLS:C0432195	MONDO:0008831, MONDO:0009894, MONDO:0013127, MONDO:0014284, MONDO:0014287, MONDO:0014577, MONDO:0013441, MONDO:0013569, MONDO:0013717, MONDO:0018770, MONDO:0019691, MONDO:0014214	Jeune syndrome,ciliopathy,hereditary disease,human disease,disease
UMLS:C0162666	MONDO:0004675	inborn mitochondrial myopathy,congenital structural myopathy,congenital myopathy,myopathy,skeletal muscle disorder,muscle tissue disorder,musculoskeletal system disorder,human disease,disease
UMLS:C0014175	MONDO:0005133	endometrial disorder,uterine disorder,female reproductive system disorder,reproductive system disorder,human disease,disease
UMLS:C0339527	MONDO:0018998	congenital nervous system disorder,nervous system disorder,human disease,disease
UMLS:C3710589	MONDO:0015753	alpha-actinopathy,congenital nervous system disorder,nervous system disorder,human disease,disease
UMLS:C0022340	MONDO:0008767, MONDO:0008768, MONDO:0008769, MONDO:0009744, MONDO:0009745, MONDO:0011144, MONDO:0012188, MONDO:0012391, MONDO:0012414, MONDO:0012588, MONDO:0008083, MONDO:0013866, MONDO:0015674, MONDO:0014147, MONDO:0016295, MONDO:0010830	juvenile neuronal ceroid lipofuscinosis,neuronal ceroid lipofuscinosis,lysosomal lipid storage disorder,inherited lipid metabolism disorder,inborn errors of metabolism,hereditary disease,human disease,disease
UMLS:C1408182	MONDO:0000902, MONDO:0012096, MONDO:0011085, MONDO:0011091, MONDO:0011113, MONDO:0013212, MONDO:0011527, MONDO:0011534, MONDO:0011633, MONDO:0011687, MONDO:0012231, MONDO:0012250, MONDO:0011894, MONDO:0011901, MONDO:0011902, MONDO:0011903, MONDO:0011916, MONDO:0014467, MONDO:0014566, MONDO:0014733, MONDO:0014735, MONDO:0014866, MONDO:0013338, MONDO:0013644, MONDO:0013753, MONDO:0013758, MONDO:0012640, MONDO:0007307, MONDO:0007308, MONDO:0007309, MONDO:0007311, MONDO:0013959, MONDO:0014012, MONDO:0014074, MONDO:0014117, MONDO:0014154, MONDO:0010479, MONDO:0014208, MONDO:0010549, MONDO:0010689, MONDO:0010699	inherited neurodegenerative disorder,neurodegenerative disease,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C0010246	MONDO:0005721	enterovirus infectious disease,Picornaviridae infectious disease,primary viral infectious disease,viral infectious disease,infectious disease,human disease,disease
UMLS:C0038325	MONDO:0018229	syndromic disease,human disease,disease
UMLS:C0035304	MONDO:0004580	retinal disorder,nervous system disorder,human disease,disease
UMLS:C0002452	MONDO:0008770, MONDO:0008771, MONDO:0008772, MONDO:0013181, MONDO:0007538, MONDO:0014385, MONDO:0014540, MONDO:0014560, MONDO:0007092, MONDO:0007093, MONDO:0007094, MONDO:0013906, MONDO:0019507, MONDO:0012926, MONDO:0010521, MONDO:0010522	amelogenesis imperfecta type 1,amelogenesis imperfecta,hereditary disease,human disease,disease
UMLS:C1850451	MONDO:0009744, MONDO:0016295	neuronal ceroid lipofuscinosis,lysosomal lipid storage disorder,inherited lipid metabolism disorder,inborn errors of metabolism,hereditary disease,human disease,disease
UMLS:C0001418	MONDO:0004970	carcinoma,cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C2751642	MONDO:0013092	glioma susceptibility,hereditary neoplastic syndrome,hereditary disease,human disease,disease
UMLS:C4014291	MONDO:0014342, MONDO:0014769	inherited oocyte maturation defect,hereditary disease,human disease,disease
UMLS:C3668822	MONDO:0000437	cerebellar disorder,brain disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C0043094		disease
UMLS:C0001175	MONDO:0012268, MONDO:0017769	T-cell immunodeficiency,immunodeficiency disease,hereditary disease,human disease,disease
UMLS:C0039231		disease
UMLS:C0037926		disease
UMLS:C0022104	MONDO:0005052	syndromic disease,human disease,disease
UMLS:C1956346	MONDO:0005010	arterial disorder,vascular disorder,cardiovascular disorder,human disease,disease
UMLS:C0280803	MONDO:0002571	immune system cancer,cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0270210	MONDO:0009383	hereditary hyperbilirubinemia,inborn disorder of bilirubin metabolism,inborn disorder of porphyrin metabolism,inborn errors of metabolism,hereditary disease,human disease,disease
UMLS:C1273070		disease
UMLS:C0023645	MONDO:0018879	alopecia,hair anomaly,disorder of pilosebaceous unit,integumentary system disorder,human disease,disease
UMLS:C0596263		disease
UMLS:C0013363	MONDO:0021809, MONDO:0044872	dysautonomia,autonomic nervous system disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C5193074	MONDO:0032725	developmental and epileptic encephalopathy,epilepsy, idiopathic generalized,epilepsy,brain disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C0153414	MONDO:0007576	digestive system cancer,digestive system disorder,human disease,disease
UMLS:C0151691	MONDO:0017773	metabolic disease,human disease,disease
UMLS:C1854128		disease
UMLS:C0023772	MONDO:0002525	inborn errors of metabolism,hereditary disease,human disease,disease
UMLS:C3810042	MONDO:0014266	age related macular degeneration, susceptibility to,inherited disease susceptibility,disease susceptibility
UMLS:C5543482	MONDO:0859159	hereditary disease,human disease,disease
UMLS:C0043020	MONDO:0043280	nervous system disorder,human disease,disease
UMLS:C4225351	MONDO:0014606	syndromic intellectual disability,intellectual disability,developmental disorder of mental health,mental disorder,psychiatric disorder,human disease,disease
UMLS:C0085762	MONDO:0002046	substance abuse,substance-related disorder,psychiatric disorder,human disease,disease
UMLS:C5190597	MONDO:0018320	syndromic disease,human disease,disease
UMLS:C3160814		disease
UMLS:C0887833	MONDO:0005184	tubular adenocarcinoma,adenocarcinoma,carcinoma,cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0338656		disease
UMLS:C0220669	MONDO:0011904, MONDO:0016027	benign familial infantile epilepsy,infancy electroclinical syndrome,electroclinical syndrome,epilepsy,brain disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C5436769	MONDO:0033644	hereditary disease,human disease,disease
UMLS:C4746984	MONDO:0026720	mitochondrial complex I deficiency, nuclear type,mitochondrial complex I deficiency,mitochondrial complex deficiency,inborn mitochondrial metabolism disorder,developmental anomaly of metabolic origin,metabolic disease,human disease,disease
UMLS:C0029172	MONDO:0018166	mouth disorder,human disease,disease
UMLS:C0079583		disease
UMLS:C1970028	MONDO:0021024	inherited disease susceptibility,disease susceptibility
UMLS:C0041834		disease
UMLS:C5436576	MONDO:0033560	hereditary disease,human disease,disease
UMLS:C0036337	MONDO:0005487	psychotic disorder,cognitive disorder,psychiatric disorder,human disease,disease
UMLS:C0039070		disease
UMLS:C0162534	MONDO:0005429, MONDO:0018926	brain disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C3149117		disease
UMLS:C0018790	MONDO:0000745	cardiac rhythm disease,heart disorder,cardiovascular disorder,human disease,disease
UMLS:C0011269	MONDO:0004648	dementia,cognitive disorder,psychiatric disorder,human disease,disease
UMLS:C3279991	MONDO:0800001	inherited disease susceptibility,disease susceptibility
UMLS:C1853198	MONDO:0012467, MONDO:0010091	cold-induced sweating syndrome,cold-induced sweating syndrome - hyperthermia spectrum,hereditary sensory and autonomic neuropathy,sensory peripheral neuropathy,peripheral neuropathy,peripheral nervous system disorder,nervous system disorder,human disease,disease
UMLS:C0151313	MONDO:0002321	peripheral neuropathy,peripheral nervous system disorder,nervous system disorder,human disease,disease
UMLS:C1842462		disease
UMLS:C1854416	MONDO:0011537	autosomal dominant disease,autosomal genetic disease,hereditary disease,human disease,disease
UMLS:C1869114	MONDO:0018096	autosomal genetic disease,hereditary disease,human disease,disease
UMLS:C0038868	MONDO:0019037	syndromic disease,human disease,disease
UMLS:C0010036	MONDO:0018102	corneal disorder,eye disorder,disorder of orbital region,human disease,disease
UMLS:C4540040	MONDO:0054739	Fraser syndrome,syndromic disease,human disease,disease
UMLS:C4551714	MONDO:0015993	inherited retinal dystrophy,retinal degeneration,retinal disorder,nervous system disorder,human disease,disease
UMLS:C2677770	MONDO:0012771	inherited susceptibility to asthma,inherited disease susceptibility,disease susceptibility
UMLS:C0022387	MONDO:0002441	familial long QT syndrome,long QT syndrome,syndromic disease,human disease,disease
UMLS:C3810404	MONDO:0014332	disorder of gluconeogenesis,glucose metabolism disease,metabolic disease,human disease,disease
UMLS:C3489532	MONDO:0007362, MONDO:0015993	cone-rod dystrophy,inherited retinal dystrophy,retinal degeneration,retinal disorder,nervous system disorder,human disease,disease
UMLS:C0023481	MONDO:0019451	chronic leukemia,leukemia,hematopoietic and lymphoid cell neoplasm,hematopoietic and lymphoid system neoplasm,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C3151519	MONDO:0009667	muscular dystrophy-dystroglycanopathy, type A,muscular dystrophy-dystroglycanopathy,congenital muscular dystrophy,congenital nervous system disorder,nervous system disorder,human disease,disease
UMLS:C1368295	MONDO:0005341	skin squamous cell carcinoma,skin carcinoma,skin cancer,integumentary system cancer,integumentary system disorder,human disease,disease
UMLS:C0028738	MONDO:0004843	ocular motility disease,cranial nerve neuropathy,nervous system disorder,human disease,disease
UMLS:C0376634		disease
UMLS:C0026848	MONDO:0005336, MONDO:0003939, MONDO:0020120	skeletal muscle disorder,muscle tissue disorder,musculoskeletal system disorder,human disease,disease
UMLS:C5779613	MONDO:0008779, MONDO:0015168, MONDO:0015225	movement disorder,nervous system disorder,human disease,disease
UMLS:C0741160	MONDO:0005160	aortic disorder,arterial disorder,vascular disorder,cardiovascular disorder,human disease,disease
UMLS:C0220998	MONDO:0010140	hereditary disease,human disease,disease
UMLS:C0008073	MONDO:0005287	nervous system disorder,human disease,disease
UMLS:C0002418	MONDO:0001020	vision disorder,perceptual disorders,psychiatric disorder,human disease,disease
UMLS:C0751039	MONDO:0019569, MONDO:0016006	Cockayne syndrome,autosomal recessive disease,autosomal genetic disease,hereditary disease,human disease,disease
UMLS:C1864818	MONDO:0012326	hearing loss, autosomal recessive,autosomal recessive disease,autosomal genetic disease,hereditary disease,human disease,disease
UMLS:C0027658		disease
